user_id,total_tasks,max_level
25ab2bbd-f136-4ed1-878d-cd82efe4dd8f,41,4
eb0a327a-8153-4d09-966e-bc0ab5a70aa2,41,5.45
78d08336-a247-474a-a33c-0819b4b0ff3c,40,3.35
3476615c-d76e-4006-aa1b-6d6e3f623558,39,3.7
91cf12cb-6fff-46fe-961b-0c5eebedb8ba,37,4.75
07d8b6a6-9535-497e-b81b-6001e9b898f1,34,7.25
8f32fd16-941c-4d75-b0bf-d29f20053bac,34,3.4
2f46c376-c578-430c-bdd0-bdfc75559007,34,1.1
e0960a6c-b9af-4f0e-88df-b8c2b72ca966,32,6
05d07897-cb79-41df-812f-d6dfdddfe69e,32,7.25
